ID,unwing,wing,log2FoldChange,padj
CL447.Contig4_All,251.84785194871,70.9221620723003,1.83788738058108,0.0326864237969773
CL1263.Contig1_All,3369.31032295588,1317.06253019178,1.85563822346255,0.0326889879779929
CL2608.Contig2_All,1678.07533799064,901.824907762564,1.84369156812991,0.0326889879779929
Unigene27309_All,38.1691439405606,3.62507509870316,3.39682269962713,0.0326889879779929
CL3165.Contig2_All,556.687949115766,161.471271068762,1.76007923987494,0.0329381295169554
Unigene33025_All,275.622931605646,82.3819432099006,1.6162952562492,0.0331174181027438
Unigene11912_All,39.4799364293521,2.93680243402607,3.56814724843439,0.0334584665217704
CL580.Contig2_All,55.6442091889932,4.23575903728429,4.19537579042844,0.0336209941810055
Unigene448_All,332.215828801491,73.999550754709,2.04373913460332,0.0340885239156843
CL3646.Contig3_All,7837.45635927062,11780.561565705,2.68731340502944,0.0350785198715483
CL1365.Contig2_All,94.2177541460741,22.7289526805657,3.05705540247619,0.0357000660468972
Unigene9734_All,101.038919594413,37.8744002131204,3.56717400120681,0.0357000660468972
CL2983.Contig1_All,1056.55304710207,379.212999653434,1.53919832576745,0.0364287187049619
CL1701.Contig2_All,397.707839008082,118.788988073088,1.57161360311456,0.0365029595087297
CL352.Contig2_All,260.722514569776,91.7203060466894,1.80740959721451,0.0365029595087297
Unigene13256_All,1536.40228454331,2461.25059155057,3.01242321957288,0.0365029595087297
Unigene4078_All,299.830499301212,58.2163222432008,1.97635037537826,0.0365029595087297
Unigene19060_All,166.764904612195,39.620059861226,2.23021250134625,0.0381777177279597
Unigene26577_All,57.4224039899982,6.56187753272923,3.01785663012421,0.038529028661272
Unigene12200_All,932.286376322666,181.970234697257,1.92811564948239,0.0397857340125545
Unigene21028_All,807.043976583087,284.385904140442,1.49588181302444,0.0400647852712694
CL997.Contig1_All,1177.43516663983,460.024829744416,1.61996888032647,0.0401335539666337
CL247.Contig3_All,385.328726863956,117.401948534076,1.72389483694168,0.0401562353736343
Unigene8378_All,123.751188382817,34.4267134145696,1.8704337374114,0.0401612766385411
CL2610.Contig2_All,885.651774110648,93.7604718576378,2.84304024246622,0.0402838751477743
CL250.Contig1_All,334.671796741994,126.538091142608,1.40471448651945,0.0405622982800078
CL904.Contig1_All,7278.36043310297,7483.12875035264,5.25556130203897,0.0405622982800078
Unigene10297_All,477.716327653353,190.347814700378,1.32815221656959,0.0405622982800078
CL3500.Contig1_All,267.58074167435,74.0325766711165,1.9589787032573,0.040922756469747
Unigene16614_All,4596.61749376429,170.12857991898,5.01913797196083,0.0409605446550103
Unigene10413_All,4724.09175948773,11405.9133107068,3.00826374935529,0.0416940877147871
Unigene3572_All,216.403362330024,44.4863748324429,2.00363197456824,0.0421857643461198
CL163.Contig5_All,860.055064420116,199.003872379779,1.86578043403148,0.042643576630241
CL3.Contig8_All,115.762868779217,25.9346752601566,2.17113960124335,0.042643576630241
Unigene10158_All,321.907845526021,76.954393302203,1.91429940523768,0.042643576630241
Unigene17743_All,40.9126809125744,4.75282576320676,3.69876635834396,0.042643576630241
Unigene4205_All,264.411244819576,82.1220799912403,1.90851565318509,0.042643576630241
Unigene4498_All,70.3215081004429,10.9597855818637,3.06098498915727,0.042643576630241
Unigene7704_All,13157.5806463385,33307.1604632734,2.89173556595141,0.042643576630241
Unigene8425_All,218.662395953914,55.3176854033568,1.92282137631208,0.042643576630241
Unigene16078_All,1026.70062561295,428.314084077996,1.28633116313994,0.0427241558030908
Unigene10278_All,265.800934196925,94.8995796704007,1.48551882904882,0.043560023514828
Unigene3425_All,1025.77848181246,395.595590064351,1.39219956243492,0.043560023514828
Unigene11991_All,443.394704606567,103.757998691826,1.7582640973363,0.0439968899303704
Unigene19217_All,83.482532140824,5.34852389884832,3.75373737999578,0.0439968899303704
Unigene11184_All,53.0348764406929,2.11387239700147,4.26594622541013,0.0447960694655417
Unigene10841_All,1332.90088003536,460.279373540281,1.31362158949775,0.0451114768322139
CL3046.Contig1_All,62.0725762749385,7.51946494210133,3.48760449881089,0.0451785554219687
Unigene31256_All,82.1422715179168,4.97308610493158,3.81285096676199,0.0455488497766866
Unigene13877_All,32.4911628951514,2.17094104325301,4.12929340965023,0.0459757747784491
Unigene16877_All,629.750023388024,227.500595473625,1.42783562591208,0.0461952603696946
Unigene11980_All,77.9601240859027,14.6634920902859,2.63968271617199,0.0468994672181393
Unigene141_All,1128.5158596447,391.991756870326,1.68675629830614,0.0468994672181393
Unigene3982_All,103.192479719069,25.4966345430834,1.98320350614307,0.0469838197858459
Unigene18796_All,89.3458592792249,17.3094170161494,2.12499377887551,0.0472924343707197
Unigene25360_All,133.013794686863,23.7505802958476,3.70547109412387,0.0473471718163577
CL1680.Contig3_All,3326.76002779951,1515.55322083043,1.20112242581274,0.0474810077623904
CL1767.Contig1_All,4057.57430320719,1091.32938212057,2.31436375049909,0.0474810077623904
Unigene19842_All,37.2005908472175,7.91686009861587,5.74946615792818,0.0477298834135598
CL1701.Contig1_All,767.202382543549,230.947961413386,1.53798368699344,0.0480464562943043
Unigene3476_All,299.020959858536,77.8584347153232,1.77256822960323,0.0482647174791815
Unigene4535_All,472.626320660948,128.459335951155,1.9376859303558,0.0482647174791815
Unigene12459_All,78.1882203163797,13.7208904838534,2.50230697312116,0.0483907547929432
Unigene22440_All,76.1278544272305,11.1675400870254,2.74206207560291,0.0484395121505053
Unigene21899_All,5323.5857115975,7409.9823547262,4.83958265951933,0.0486638489590445
Unigene23763_All,86.9911453031919,23.8852376681951,3.17935512102873,0.0492534362122038
CL1781.Contig15_All,85.190566391832,16.6141727918141,2.28372040907878,0.0495014203332643
Unigene1502_All,155.368828961613,35.1018321581907,1.89762310093263,0.0495014203332643
